Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
LR_SMV,32,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_SMV,32,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_SMV,32,3,0.6086956521739131,0.5454545454545454,0.6,0.5714285714285714
LR_SMV,32,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_SMV,32,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_SMV,64,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_SMV,64,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_SMV,64,3,0.6086956521739131,0.5454545454545454,0.6,0.5714285714285714
LR_SMV,64,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_SMV,64,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_SMV,128,1,0.5833333333333334,0.5555555555555556,0.8333333333333334,0.6666666666666666
LR_SMV,128,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_SMV,128,3,0.6956521739130435,0.6363636363636364,0.7,0.6666666666666666
LR_SMV,128,4,0.6521739130434783,1.0,0.5555555555555556,0.7142857142857143
LR_SMV,128,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_SMV,256,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_SMV,256,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_SMV,256,3,0.5652173913043478,0.5,0.6,0.5454545454545454
LR_SMV,256,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_SMV,256,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_SMV,512,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_SMV,512,2,0.6521739130434783,0.7272727272727273,0.6153846153846154,0.6666666666666666
LR_SMV,512,3,0.6086956521739131,0.5454545454545454,0.6,0.5714285714285714
LR_SMV,512,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_SMV,512,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_SMV,1024,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_SMV,1024,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_SMV,1024,3,0.5652173913043478,0.5,0.6,0.5454545454545454
LR_SMV,1024,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_SMV,1024,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_WA,32,1,0.5833333333333334,0.5625,0.75,0.6428571428571429
LR_WA,32,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_WA,32,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,32,4,0.7391304347826086,1.0,0.6666666666666666,0.8
LR_WA,32,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_WA,64,1,0.5416666666666666,0.5294117647058824,0.75,0.6206896551724138
LR_WA,64,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_WA,64,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,64,4,0.7391304347826086,1.0,0.6666666666666666,0.8
LR_WA,64,5,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.6666666666666666
LR_WA,128,1,0.5833333333333334,0.5625,0.75,0.6428571428571429
LR_WA,128,2,0.6956521739130435,0.75,0.6923076923076923,0.72
LR_WA,128,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,128,4,0.7391304347826086,1.0,0.6666666666666666,0.8
