segment_length,question,comparison,mean_diff_f1_%,t_stat,p_raw,corrected_alpha,significant
32,Above Chance,LR (SMV) vs Random,5.94,1.35,0.1249,0.0125,False
32,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
32,Above Chance,RNN (SMV) vs Random,19.68,13.42,0.0001,0.0125,True
32,Above Chance,RNN (WA) vs Random,20.1,9.3,0.0004,0.0125,True
32,Temporal vs Static,RNN (SMV) vs LR (SMV),13.74,3.03,0.0386,0.025,False
32,Temporal vs Static,RNN (WA) vs LR (WA),11.94,3.03,0.0389,0.025,False
64,Above Chance,LR (SMV) vs Random,5.83,1.57,0.0952,0.0125,False
64,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
64,Above Chance,RNN (SMV) vs Random,11.93,4.3,0.0063,0.0125,True
64,Above Chance,RNN (WA) vs Random,13.97,4.37,0.006,0.0125,True
64,Temporal vs Static,RNN (SMV) vs LR (SMV),6.1,1.59,0.1881,0.025,False
64,Temporal vs Static,RNN (WA) vs LR (WA),5.82,1.69,0.1659,0.025,False
128,Above Chance,LR (SMV) vs Random,5.83,1.57,0.0952,0.0125,False
128,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
128,Above Chance,RNN (SMV) vs Random,10.69,2.4,0.037,0.0125,False
128,Above Chance,RNN (WA) vs Random,13.22,3.53,0.0121,0.0125,True
128,Temporal vs Static,RNN (SMV) vs LR (SMV),4.86,1.16,0.3097,0.025,False
128,Temporal vs Static,RNN (WA) vs LR (WA),5.06,1.82,0.143,0.025,False
256,Above Chance,LR (SMV) vs Random,4.64,1.27,0.1367,0.0125,False
256,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
256,Above Chance,RNN (SMV) vs Random,11.81,2.95,0.021,0.0125,False
256,Above Chance,RNN (WA) vs Random,12.4,2.97,0.0206,0.0125,False
256,Temporal vs Static,RNN (SMV) vs LR (SMV),7.17,1.43,0.2255,0.025,False
256,Temporal vs Static,RNN (WA) vs LR (WA),4.24,0.83,0.453,0.025,False
512,Above Chance,LR (SMV) vs Random,5.16,1.55,0.0981,0.0125,False
512,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
512,Above Chance,RNN (SMV) vs Random,4.27,2.09,0.0523,0.0125,False
512,Above Chance,RNN (WA) vs Random,6.99,1.88,0.0667,0.0125,False
512,Temporal vs Static,RNN (SMV) vs LR (SMV),-0.89,-0.24,0.8189,0.025,False
512,Temporal vs Static,RNN (WA) vs LR (WA),-1.16,-0.4,0.711,0.025,False
1024,Above Chance,LR (SMV) vs Random,4.12,1.19,0.1507,0.0125,False
1024,Above Chance,LR (WA) vs Random,8.16,2.31,0.0412,0.0125,False
1024,Above Chance,RNN (SMV) vs Random,-12.73,-1.6,0.9073,0.0125,False
1024,Above Chance,RNN (WA) vs Random,-6.76,-0.88,0.7865,0.0125,False
1024,Temporal vs Static,RNN (SMV) vs LR (SMV),-16.84,-2.1,0.1032,0.025,False
1024,Temporal vs Static,RNN (WA) vs LR (WA),-14.91,-1.84,0.1399,0.025,False
